snr_db,svd,gmd,ucd,ai_threshold,exhaustive_svd_ucd,oracle_svd_ucd
0.0,1.139116178419358,0.018711817175783133,0.11303798817669942,1.139116178419358,1.139116178419358,1.139116178419358
1.0,1.562957939295786,0.048279209689470616,0.2278364682792446,1.562957939295786,1.562957939295786,1.562957939295786
2.0,2.075637961189382,0.11767446466697752,0.44077746795246386,2.075637961189382,2.075637961189382,2.075637961189382
3.0,2.681799341609018,0.25694842884427566,0.780206112628005,2.681799341609018,2.681799341609018,2.681799341609018
4.0,3.389721876884023,0.5063173401110957,1.2623456723820907,3.389721876884023,3.389721876884023,3.389721876884023
5.0,4.209955572107249,0.9056183739541572,1.9251346095365414,4.209955572107249,4.209955572107249,4.209955572107249
6.0,5.152926168524726,1.4888638920310313,2.7452869781929974,5.152926168524726,5.152926168524726,5.152926168524726
7.0,6.2291942820741,2.2763039349112972,3.710264624836911,6.2291942820741,6.2291942820741,6.2291942820741
8.0,7.449086442134566,3.2745152915387745,4.831269082366471,7.449086442134566,7.449086442134566,7.449086442134566
9.0,8.82430553781928,4.474254800002985,6.03324450620802,8.82430553781928,8.82430553781928,8.82430553781928
10.0,10.36228414982442,5.854277093988482,7.3700711347896375,10.36228414982442,10.36228414982442,10.36228414982442
11.0,12.056750397787358,7.39032170024392,8.852472294235305,12.056750397787358,12.056750397787358,12.056750397787358
12.0,13.892553373657817,9.068653995420624,10.425510997490544,13.892553373657817,13.892553373657817,13.892553373657817
13.0,15.84100575907029,10.893062230300004,12.179419979009744,15.84100575907029,15.84100575907029,15.84100575907029
14.0,17.867006331122898,12.880384524576586,14.103393802242383,17.867006331122898,17.867006331122898,17.867006331122898
15.0,19.932929173369377,15.0610732589931,16.206743251861194,19.932929173369377,19.932929173369377,19.932929173369377
16.0,22.002912242143776,17.47449013130095,18.64209914612049,22.002912242143776,22.002912242143776,22.002912242143776
17.0,24.04750507553631,20.156225040112645,21.321058452268453,24.04606735972652,24.078604940427958,24.078604940427958
18.0,26.043835829665515,23.121540628887065,24.262752624701328,26.239559361579136,26.260792438714876,26.260792438714876
19.0,27.97330800981719,26.34678242722269,27.419276382136943,28.65353698274506,28.673455597147992,28.673455597147992
20.0,29.818523453313738,29.758275876044696,30.743329277046854,31.44279459385132,31.45451054150662,31.45451054150662
21.0,31.569439661595325,33.22073732848087,34.10729710478037,34.41719429337769,34.47416599453001,34.47416599453001
22.0,33.224152401953795,36.55186344476655,37.32117932399838,37.5262084986484,37.53533171353543,37.53533171353543
23.0,34.782110689035,39.5633664348936,40.2275305226661,40.280672146337636,40.297334293688046,40.297334293688046
24.0,36.24332743421819,42.10898317329057,42.63367328949176,42.66540578224997,42.66540578224997,42.66540578224997
25.0,37.60454566054192,44.115395421078844,44.50820445668377,44.52356556690588,44.52356556690588,44.52356556690588
26.0,38.860300437907966,45.58293451508909,45.880801661271114,45.880801661271114,45.880801661271114,45.880801661271114
27.0,40.013259599267066,46.57547251582686,46.78944633224715,46.78944633224715,46.78944633224715,46.78944633224715
28.0,41.073373647470014,47.203827662838655,47.35762538269656,47.35762538269656,47.35762538269656,47.35762538269656
29.0,42.04270959094308,47.578406589970356,47.66842742109506,47.66842742109506,47.66842742109506,47.66842742109506
30.0,42.925277044741854,47.787849113770335,47.84828116397379,47.84828116397379,47.84828116397379,47.84828116397379
