channel_index,snr_db,svd_rate,ucd_rate,delta_rate
0,0,1.702667,0.29040431,-1.4122627
0,2,2.9898868,1.137424,-1.8524628
0,4,4.8398508,2.6578108,-2.18204
0,6,7.4225422,5.1815417,-2.2410005
0,8,10.527082,8.3384868,-2.1885954
0,10,14.091668,11.867863,-2.2238045
1,0,1.700682,0.25163365,-1.4490484
1,2,2.615667,0.81054677,-1.8051202
1,4,3.9887281,1.1982097,-2.7905185
1,6,6.0188283,2.3280421,-3.6907862
1,8,8.7509633,3.9248366,-4.8261268
1,10,11.959837,7.2924201,-4.6674173
2,0,0.0077051815,0.0082922668,0.00058708537
2,2,0.31599416,0.0031814621,-0.3128127
2,4,0.81025707,0.062139985,-0.74811708
2,6,1.4819756,0.11539861,-1.3665769
2,8,2.3383157,0.38346107,-1.9548547
2,10,3.8166612,1.774637,-2.0420243
3,0,1.0627242,0.10626011,-0.95646407
3,2,2.1252236,0.2574203,-1.8678033
3,4,3.6948784,1.0278881,-2.6669903
3,6,5.5190742,3.3447843,-2.1742899
3,8,7.758628,6.1059352,-1.6526927
3,10,11.011681,8.7651625,-2.2465183
4,0,0.082023275,0,-0.082023275
4,2,0.22653841,0,-0.22653841
4,4,0.43125492,0.0090063235,-0.4222486
4,6,0.8798835,0.093475434,-0.78640807
4,8,1.4874098,0.39395461,-1.0934552
4,10,2.3298433,1.5256912,-0.80415209
5,0,0.73753345,0,-0.73753345
5,2,1.8787424,0,-1.8787424
5,4,3.4291385,0.15902589,-3.2701126
5,6,5.0600892,3.3259643,-1.7341249
5,8,7.1881641,5.4872132,-1.700951
5,10,10.095347,8.179355,-1.9159923
6,0,1.8678299,0.16568109,-1.7021488
6,2,3.0451567,0.52524313,-2.5199136
6,4,4.6163186,1.0658483,-3.5504703
6,6,6.4365705,3.2101454,-3.2264251
6,8,8.5438936,4.55564,-3.9882536
6,10,11.543506,5.0403843,-6.5031221
7,0,0.4477119,0.035196628,-0.41251528
7,2,1.1480863,0.1080962,-1.0399901
7,4,1.9803685,0.22486847,-1.7555001
7,6,2.8204728,0.41008328,-2.4103895
7,8,3.8713339,0.3930426,-3.4782913
7,10,5.4656685,1.4978063,-3.9678621
