channel_index,config_id,snr_db,svd_rate,ucd_rate,delta_rate
0,0,0,0.16418085,0.24644995,0.0822691
0,0,1,0.40394084,0.31756414,-0.086376694
0,0,2,0.75419311,0.74911872,-0.0050743952
0,0,3,1.245542,1.0717194,-0.1738226
0,0,4,1.8830483,1.4534274,-0.42962094
0,0,5,2.6847082,1.8941463,-0.79056187
0,0,6,nan,nan,nan
0,0,7,4.6964258,3.715677,-0.98074875
0,0,8,5.7094127,4.5055008,-1.2039119
0,0,9,nan,nan,nan
0,0,10,8.3290318,8.2548274,-0.074204441
1,0,0,1.6704314,0.48160784,-1.1888236
1,0,1,1.840851,0.74135342,-1.0994975
1,0,2,2.0382452,1.0315821,-1.0066631
1,0,3,2.2830309,1.3185119,-0.96451903
1,0,4,2.6436406,1.5641265,-1.0795141
1,0,5,3.3276743,1.7335389,-1.5941354
1,0,6,4.4973546,1.8071285,-2.6902261
1,0,7,5.750807,1.7873822,-3.9634248
1,0,8,7.0663036,2.0283393,-5.0379643
1,0,9,8.357571,3.8307888,-4.5267822
1,0,10,9.5966253,4.4469437,-5.1496816
2,1,0,0.25753058,0.020327156,-0.23720342
2,1,1,0.44157402,0.074753027,-0.36682099
2,1,2,0.73002964,0.18947232,-0.54055731
2,1,3,1.1407432,0.3821093,-0.7586339
2,1,4,1.6035437,0.66262761,-0.94091606
2,1,5,2.2597792,1.0331836,-1.2265956
2,1,6,3.1325588,1.6578964,-1.4746624
2,1,7,4.1638161,2.4365817,-1.7272344
2,1,8,5.3077879,3.5332109,-1.774577
2,1,9,6.5471461,4.9617733,-1.5853728
2,1,10,7.9085257,6.5712,-1.3373257
3,1,0,1.1266814,0.25864031,-0.86804108
3,1,1,1.7559803,0.17987545,-1.5761048
3,1,2,2.5120262,0.27253203,-2.2394941
3,1,3,3.3353665,0.41653842,-2.918828
3,1,4,4.1554599,0.84642775,-3.3090321
3,1,5,5.015323,1.4860167,-3.5293063
3,1,6,5.9403858,2.3508893,-3.5894965
3,1,7,6.9232868,3.7404382,-3.1828486
3,1,8,7.9849318,5.5786052,-2.4063266
3,1,9,9.3496785,7.7714657,-1.5782129
3,1,10,11.335198,10.296264,-1.0389342
4,2,0,0.38457998,0.12051242,-0.26406756
4,2,1,0.59299335,0.27555766,-0.31743568
4,2,2,0.99069331,0.56105461,-0.42963869
4,2,3,1.484072,0.96860917,-0.51546285
4,2,4,2.0545979,1.5022818,-0.5523161
4,2,5,2.6862371,2.1632392,-0.52299786
4,2,6,3.3740354,2.9528806,-0.42115476
4,2,7,4.2033889,3.8692824,-0.33410652
4,2,8,5.2598473,4.8994616,-0.36038578
4,2,9,6.5403134,6.023023,-0.51729037
4,2,10,8.0234183,7.2295011,-0.79391716
5,2,0,0.10643954,0.033769702,-0.07266984
5,2,1,nan,nan,nan
5,2,2,0.56955992,0.50696675,-0.062593169
5,2,3,1.0105698,0.93379135,-0.076778402
5,2,4,nan,nan,nan
5,2,5,2.2385171,2.1114001,-0.12711696
5,2,6,nan,nan,nan
5,2,7,3.7371774,3.6192084,-0.11796896
5,2,8,4.5122479,4.4964289,-0.015819021
5,2,9,5.3376427,5.467983,0.1303403
5,2,10,6.2814964,6.4756309,0.19413445
