channel_index,threshold_db,crossing_type,delta_min,delta_max
0,16.713053,single_cross,-2.7327864,7.0701986
1,19.291161,single_cross,-4.9546906,7.7003003
2,24.269978,single_cross,-8.1864257,10.490874
3,18.741549,single_cross,-4.4639151,8.5437115
4,21.706582,single_cross,-9.6094535,11.025305
5,17.749579,single_cross,-3.3875874,8.1091091
6,20.255306,single_cross,-3.2217463,7.0786032
7,22.194487,single_cross,-5.1650566,8.1703889
8,24.501789,single_cross,-9.064437,10.226727
9,20.362979,single_cross,-3.8142606,7.5699648
10,18.140776,single_cross,-4.1452738,5.9703383
11,16.863924,single_cross,-2.6274219,8.3967874
12,22.358068,single_cross,-2.9959937,7.6875687
13,16.158735,single_cross,-2.5473557,6.5456242
14,23.156627,single_cross,-9.2154476,10.715524
15,20.547294,single_cross,-3.9789849,7.1990219
16,17.327736,single_cross,-3.3339585,7.6268282
17,19.654403,single_cross,-3.5788032,7.4767134
18,22.004876,single_cross,-3.790287,9.481911
19,17.157992,single_cross,-3.6742414,7.9966697
20,18.509664,single_cross,-3.7796505,7.9499223
21,16.745336,single_cross,-3.3796223,8.4094717
22,18.399985,single_cross,-6.097089,9.9546128
23,17.283825,single_cross,-5.1181627,9.1561604
24,19.584499,single_cross,-6.5231279,9.6009972
25,19.120173,single_cross,-2.1856925,5.6059255
26,20.570519,single_cross,-2.0187885,6.4273132
27,18.129479,single_cross,-4.0198795,6.9648787
28,19.071463,single_cross,-3.0628252,7.6507605
29,17.874172,single_cross,-5.8671708,9.4705113
30,23.260575,single_cross,-12.018463,11.61122
31,16.452031,single_cross,-3.2654163,5.6309549
