snr_db,svd,gmd,ucd,gain_gmd_vs_svd,gain_ucd_vs_svd,gain_ucd_vs_gmd,svd_ber,gmd_ber,ucd_ber,svd_leakage,gmd_leakage,ucd_leakage
0.0,0.7349476556127055,0.00749131100264826,0.008537583586224962,-0.7274563446100573,-0.7264100720264806,0.0010462725835767026,0.4714925130208333,0.4958821614583334,0.4943196614583333,0.1960002643157897,0.19600026431578968,0.19600026431578965
2.5,1.9950056133874827,0.03002533002260872,0.04107903450760144,-1.964980283364874,-1.9539265788798812,0.01105370448499272,0.4418619791666666,0.4920003255208333,0.4757975260416666,0.12229588943903998,0.12229588943904005,0.12229588943904006
5.0,4.337506119408186,0.3281996778928871,0.3978294676300157,-4.009306441515299,-3.93967665177817,0.06962978973712858,0.4038330078125,0.4704915364583333,0.4381998697916666,0.07753111457556836,0.07753111457556838,0.07753111457556834
7.5,6.847663959859103,0.9936232666034772,1.2564742032472982,-5.854040693255626,-5.591189756611805,0.262850936643821,0.37040201822916663,0.443408203125,0.4004069010416667,0.05510407813973621,0.055104078139736244,0.05510407813973628
10.0,11.226320733637307,3.521354573037474,4.437821382630628,-7.704966160599833,-6.788499351006679,0.9164668095931541,0.31839192708333336,0.384619140625,0.3410319010416667,0.035465604854356646,0.03546560485435668,0.035465604854356694
12.5,15.6228422656194,6.665463506725406,8.788917277333612,-8.957378758893995,-6.833924988285789,2.1234537706082053,0.27447916666666666,0.3278157552083333,0.2804850260416667,0.019958600403115184,0.01995860040311517,0.019958600403115177
15.0,20.44117433805969,12.028176472792124,13.30966942296788,-8.412997865267565,-7.131504915091808,1.2814929501757568,0.22819010416666666,0.2623372395833333,0.2245442708333333,0.015051859203328882,0.015051859203328868,0.01505185920332885
17.5,25.203003632345585,17.50039977816464,20.286671767287277,-7.702603854180946,-4.916331865058307,2.786271989122639,0.18649088541666664,0.20970865885416665,0.168115234375,0.007460242383661042,0.007460242383661051,0.007460242383661002
20.0,29.63085531130823,24.877392751915337,26.38976440137994,-4.753462559392894,-3.2410909099282925,1.5123716494646011,0.1468017578125,0.13902180989583332,0.12135416666666668,0.004280008403408642,0.004280008403408647,0.004280008403408701
22.5,32.89322789653964,31.16628875559835,32.10760738704087,-1.7269391409412904,-0.78562050949877,0.9413186314425204,0.11593424479166667,0.09353841145833333,0.08168131510416667,0.003042833689865094,0.0030428336898651147,0.0030428336898650956
25.0,36.1194714598412,36.89825206010332,38.020895416149656,0.7787806002621167,1.9014239563084558,1.1226433560463391,0.09134114583333333,0.05518391927083334,0.04634602864583333,0.0018265805426622935,0.0018265805426622768,0.0018265805426623059
27.5,38.40251268520215,41.53075909061309,42.31404626686218,3.128246405410941,3.9115335816600307,0.7832871762490896,0.07245279947916668,0.029931640625000006,0.024104817708333334,0.0009902864776261651,0.0009902864776261463,0.0009902864776261933
30.0,40.39135180698793,45.28254885719902,45.77071917786532,4.89119705021109,5.3793673708773895,0.48817032066629906,0.05636393229166666,0.011759440104166668,0.009147135416666665,0.0006095909633023224,0.0006095909633022748,0.0006095909633023522
32.5,42.29248222756878,46.888346148330605,47.05375799382292,4.595863920761822,4.761275766254137,0.16541184549231502,0.04054361979166667,0.004231770833333334,0.0034505208333333337,0.00036112233733403594,0.00036112233733400016,0.000361122337334057
35.0,44.03761659606539,47.76342793910094,47.89842759214434,3.725811343035552,3.8608109960789463,0.13499965304339412,0.028588867187500006,0.0008219401041666666,0.0004069010416666667,0.00017389955448772942,0.00017389955448777463,0.00017389955448779618
37.5,45.04433551394891,47.930897724004026,47.95320934114532,2.886562210055118,2.908873827196409,0.02231161714129115,0.020109049479166665,0.0001708984375,0.0001220703125,0.0001123822297823271,0.00011238222978230772,0.00011238222978228753
40.0,45.73932130840185,47.997273623101805,47.996600677231115,2.2579523146999563,2.2572793688292663,-0.0006729458706900004,0.015218098958333332,8.138020833333333e-06,8.138020833333333e-06,7.045919003588671e-05,7.045919003590586e-05,7.0459190035882e-05
