snr_db,avg_svd,avg_gmd_thp,gain_gmd_thp_vs_svd,avg_svd_leakage,avg_gmd_thp_leakage
-10.0,0.07270089666124324,0.0001220914879889179,-0.07257880517325432,0.0,0.0
-5.0,0.2071117377374998,0.0002117412892452819,-0.20689999644825452,0.0,0.0
0.0,0.6020537230819833,0.0010461866597193392,-0.601007536422264,0.0,0.0
5.0,1.638924895085954,0.004225824326276495,-1.6346990707596776,0.0,0.0
10.0,3.859170501625516,0.0029130959297267722,-3.8562574056957892,0.0,0.0
15.0,7.40754017783751,0.005314878011027702,-7.402225299826482,0.0,0.0
20.0,11.505656760289902,0.03049256763053343,-11.475164192659369,0.0,0.0
25.0,14.773962272009218,2.126483561957804,-12.647478710051413,0.0,0.0
30.0,16.74101122015717,11.568271913722985,-5.172739306434185,0.0,0.0
35.0,18.399159959974064,24.206809736357535,5.807649776383471,0.0,0.0
40.0,21.43924523090051,31.08458978259665,9.645344551696141,0.0,0.0
