snr_db,avg_svd,avg_gmd,avg_baseline,avg_ao,gain_ao_vs_svd,gain_ao_vs_gmd,gain_ao_vs_baseline,avg_svd_leakage,avg_gmd_leakage,avg_baseline_leakage,avg_ao_leakage
-10.0000000000,0.7867780301,0.3052681370,0.9159651647,1.3185741072,0.5317960771,1.0133059703,0.4026089426,0.0000000000,0.0000000000,0.0000000000,0.0000000000
-7.5000000000,1.3265600758,0.4418224852,1.5131293655,2.0355922378,0.7090321620,1.5937697526,0.5224628723,0.0000000000,0.0000000000,0.0000000000,0.0000000000
-5.0000000000,2.1812874168,0.5905463698,2.4216668535,3.0636650770,0.8823776601,2.4731187072,0.6419982235,0.0000000000,0.0000000000,0.0000000000,0.0000000000
-2.5000000000,3.4549035610,0.6840889833,3.7370402157,4.5081307180,1.0532271570,3.8240417347,0.7710905023,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,5.2211470634,0.7844671611,5.5151236116,6.4063156288,1.1851685654,5.6218484677,0.8911920172,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2.5000000000,7.5183462343,0.8437834041,7.7831554255,8.8823802899,1.3640340556,8.0385968858,1.0992248643,0.0000000000,0.0000000000,0.0000000000,0.0000000000
5.0000000000,10.3841868056,1.1594239880,10.6497764400,11.8707622227,1.4865754171,10.7113382347,1.2209857827,0.0000000000,0.0000000000,0.0000000000,0.0000000000
7.5000000000,13.8432560366,2.1456972753,14.1082336350,15.6069312519,1.7636752153,13.4612339766,1.4986976169,0.0000000000,0.0000000000,0.0000000000,0.0000000000
10.0000000000,17.8226794151,3.1799512330,18.1644350078,19.8369001779,2.0142207628,16.6569489449,1.6724651701,0.0000000000,0.0000000000,0.0000000000,0.0000000000
12.5000000000,22.1241037804,5.0807387429,22.7087635565,24.6305596700,2.5064558895,19.5498209271,1.9217961134,0.0000000000,0.0000000000,0.0000000000,0.0000000000
15.0000000000,26.4992362321,6.6409918392,27.4202959545,29.8832989373,3.3840627052,23.2423070981,2.4630029829,0.0000000000,0.0000000000,0.0000000000,0.0000000000
17.5000000000,30.5780025658,8.1485156922,31.9637199690,35.2131209611,4.6351183953,27.0646052689,3.2494009921,0.0000000000,0.0000000000,0.0000000000,0.0000000000
20.0000000000,34.0298139343,13.8278036043,35.8366835086,39.9753572685,5.9455433342,26.1475536643,4.1386737600,0.0000000000,0.0000000000,0.0000000000,0.0000000000
22.5000000000,36.8921612223,24.7140758600,38.9315701360,44.3132255788,7.4210643565,19.5991497189,5.3816554428,0.0000000000,0.0000000000,0.0000000000,0.0000000000
25.0000000000,39.4214855905,30.4193239194,41.4401437473,46.7567581956,7.3352726051,16.3374342762,5.3166144483,0.0000000000,0.0000000000,0.0000000000,0.0000000000
27.5000000000,41.5756942441,35.3043785153,43.5577576771,47.7714122946,6.1957180506,12.4670337793,4.2136546175,0.0000000000,0.0000000000,0.0000000000,0.0000000000
30.0000000000,43.4833866735,41.1471755660,45.2397834599,47.9895856804,4.5061990069,6.8424101143,2.7498022205,0.0000000000,0.0000000000,0.0000000000,0.0000000000
32.5000000000,45.1091575281,47.3568215766,46.3121191039,47.9999783469,2.8908208187,0.6431567703,1.6878592430,0.0000000000,0.0000000000,0.0000000000,0.0000000000
35.0000000000,46.2027698425,47.9495430436,47.0380990799,47.9999996629,1.7972298204,0.0504566192,0.9619005830,0.0000000000,0.0000000000,0.0000000000,0.0000000000
37.5000000000,46.8769371591,47.9999970263,47.5482888781,47.9999992964,1.1230621374,0.0000022702,0.4517104183,0.0000000000,0.0000000000,0.0000000000,0.0000000000
40.0000000000,47.3827400219,48.0000000000,47.8738676088,47.9999998848,0.6172598629,-0.0000001152,0.1261322760,0.0000000000,0.0000000000,0.0000000000,0.0000000000
42.5000000000,47.7772636694,48.0000000000,47.9870823492,48.0000000000,0.2227363306,-0.0000000000,0.0129176507,0.0000000000,0.0000000000,0.0000000000,0.0000000000
45.0000000000,47.9640849624,48.0000000000,47.9999093168,48.0000000000,0.0359150376,-0.0000000000,0.0000906832,0.0000000000,0.0000000000,0.0000000000,0.0000000000
47.5000000000,47.9990840666,48.0000000000,47.9999999950,47.9999999950,0.0009159284,-0.0000000050,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
50.0000000000,47.9999998930,48.0000000000,47.9999999246,47.9999999246,0.0000000315,-0.0000000754,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
