snr_db,svd,gmd,ucd,svd_gaussian,gmd_gaussian,ucd_gaussian,gain_gmd_vs_svd,gain_ucd_vs_svd,gain_ucd_vs_gmd,gap_gaussian_vs_svd,gap_gaussian_vs_gmd,gap_gaussian_vs_ucd,svd_leakage,gmd_leakage,ucd_leakage
0.0,1.8767371084016287,0.10580424174089434,0.3984865329365464,6.650842555687676,4.3129036700065715,7.488920034042266,-1.7709328666607342,-1.4782505754650823,0.29268229119565203,4.774105447286048,4.2070994282656775,7.09043350110572,0.0,0.0,0.0
5.0,7.040991308000221,2.460497357138943,4.1614562657961045,12.901286602504907,10.083705388815819,14.376392169384534,-4.580493950861278,-2.8795350422041164,1.7009589086571615,5.860295294504686,7.623208031676876,10.21493590358843,0.0,0.0,0.0
10.0,15.752714578746247,11.513878133434357,13.655124254614984,21.56784751694515,19.278928894171873,23.07506900298108,-4.23883644531189,-2.0975903241312626,2.141246121180627,5.815132938198904,7.765050760737516,9.419944748366097,0.0,0.0,0.0
15.0,26.153969238357643,25.447617444885662,26.854660005489905,32.16822002124012,30.844775406461697,33.18253666821005,-0.7063517934719812,0.7006907671322615,1.4070425606042427,6.014250782882474,5.397157961576035,6.3278766627201435,0.0,0.0,0.0
20.0,35.28689117813628,38.85733488644952,39.383901601367526,44.10385741120329,43.51899004145393,44.61805145539415,3.570443708313242,4.0970104232312465,0.5265667149180047,8.816966233067014,4.661655155004411,5.234149854026626,0.0,0.0,0.0
25.0,41.72339723860782,46.61884724209349,46.70884965072179,56.81954720414795,56.60425669678388,57.02446931724403,4.895450003485671,4.985452412113972,0.09000240862830111,15.096149965540135,9.98540945469039,10.315619666522238,0.0,0.0,0.0
30.0,45.55154660161135,47.96984161949304,47.97346257359386,69.89913787593356,69.82704256924141,69.97002436605129,2.4182950178816895,2.421915971982507,0.0036209541008176416,24.347591274322212,21.857200949748375,21.996561792457435,0.0,0.0,0.0
35.0,47.41747289043466,47.99999999937253,47.999999999569155,83.11737558715298,83.09413042062911,83.14049335776159,0.5825271089378674,0.5825271091344959,1.9662849126689252e-10,35.69990269671832,35.09413042125659,35.14049335819243,0.0,0.0,0.0
40.0,47.97455787080032,48.0,48.0,96.38270846104632,96.37531138320763,96.39009258121233,0.02544212919968203,0.02544212919968203,0.0,48.408150590246,48.37531138320763,48.39009258121233,0.0,0.0,0.0
