snr_db,svd,gmd,ucd,ao,gain_gmd_vs_svd,gain_ucd_vs_svd,gain_ao_vs_svd,gain_ao_vs_gmd,svd_ber,gmd_ber,ucd_ber,ao_ber,gaussian_limit,svd_leakage,gmd_leakage,ucd_leakage,ao_leakage,ao_init_frac_svd,ao_init_frac_ucd
10.0,17.70673829229794,7.261321693167448,10.370077367206822,19.6033929052723,-10.44541659913049,-7.336660925091117,1.8966546129743627,12.342071212104853,0.755029296875,0.33541666666666664,0.279296875,0.730517578125,27.156379908488123,0.0,0.0,0.0,7.81160907076783e-13,1.0,0.0
12.5,21.919804513123818,12.724627025979782,15.788175498753859,24.119429524880324,-9.195177487144036,-6.13162901436996,2.199625011756506,11.394802498900543,0.660107421875,0.26826171875000004,0.22369791666666666,0.6359375,32.84161882871196,0.0,0.0,0.0,1.0663007171953078e-12,1.0,0.0
15.0,26.17002638561717,19.234305954940638,22.193745881688557,29.037548766476363,-6.9357204306765325,-3.9762805039286135,2.8675223808591923,9.803242811535725,0.555908203125,0.20237630208333335,0.16959635416666666,0.524853515625,38.84719831874078,0.0,0.0,0.0,5.660716054622372e-13,1.0,0.0
17.5,30.10715691745811,26.21970889810141,28.231333927371402,33.96606624353967,-3.8874480193567003,-1.8758229900867072,3.8589093260815623,7.746357345438263,0.45908203125,0.14462890624999997,0.119921875,0.3002278645833333,45.08435851982934,0.0,0.0,0.0,4.774191251352048e-13,0.6,0.4
20.0,33.508940941727104,33.13404802930142,34.99529933753112,38.14483226799976,-0.3748929124256861,1.486358395804018,4.635891326272656,5.010784238698342,0.3724609375,0.09410807291666666,0.07805989583333334,0.12574869791666668,51.478959766433185,0.0,0.0,0.0,2.8224742259409693e-13,0.2,0.8
22.5,36.39485283022158,39.14076257893985,40.27469256012627,42.69576217962809,2.745909748718269,3.8798397299046883,6.30090934940651,3.554999600688241,0.301513671875,0.05449218749999999,0.04586588541666666,0.060107421875,57.97463482372409,0.0,0.0,0.0,2.924083215254069e-13,0.1,0.9
25.0,38.830701545462546,43.58497299727943,44.416110656998015,45.598843335189386,4.754271451816884,5.585409111535469,6.76814178972684,2.0138703379099567,0.2453125,0.02532552083333333,0.020052083333333335,0.013118489583333334,64.53226461263571,0.0,0.0,0.0,2.000202520845797e-13,0.0,1.0
27.5,40.87395013919918,46.28135146065103,46.70979885419739,47.40490640030166,5.40740132145185,5.835848714998207,6.530956261102482,1.1235549396506315,0.194384765625,0.01005859375,0.00703125,0.0030924479166666665,71.12663757021976,0.0,0.0,0.0,3.3902378294316885e-13,0.0,1.0
30.0,42.58337791490478,47.54083378247563,47.64667978200811,47.81388866837633,4.95745586757085,5.063301867103327,5.230510753471549,0.2730548859006987,0.145361328125,0.0023111979166666663,0.0018554687500000003,0.0009114583333333332,77.7423372011137,0.0,0.0,0.0,1.9521730017579505e-13,0.0,1.0
32.5,44.03898697487419,47.93912470652622,47.95334187246999,47.95887608827443,3.9001377316520305,3.9143548975958,3.919889113400238,0.019751381748207564,0.107275390625,0.0002604166666666667,0.00016276041666666666,0.00013020833333333333,84.37025244473867,0.0,0.0,0.0,5.143929604212774e-14,0.0,1.0
35.0,45.19083099327289,47.99941810202349,47.999524214945026,47.99952420150574,2.8085871087506007,2.8086932216721365,2.808693208232853,0.00010609948225237531,0.07890625,0.0,0.0,0.0,91.00510988654877,0.0,0.0,0.0,4.002594049022729e-14,0.0,1.0
37.5,46.040534763878654,47.99999999366835,47.999999995314546,47.99999999531398,1.9594652297896928,1.9594652314358925,1.959465231435324,1.6456311868751072e-09,0.0564453125,0.0,0.0,0.0,97.64389470043292,0.0,0.0,0.0,3.5974915667802546e-14,0.0,1.0
40.0,46.66460117376651,48.0,48.0,48.0,1.3353988262334866,1.3353988262334866,1.3353988262334866,0.0,0.038525390625,0.0,0.0,0.0,104.28489554696696,0.0,0.0,0.0,6.190905574785483e-14,0.0,1.0
42.5,47.11479294273918,48.0,48.0,48.0,0.8852070572608213,0.8852070572608213,0.8852070572608213,0.0,0.0255859375,0.0,0.0,0.0,110.92714494954237,0.0,0.0,0.0,4.9086840017538236e-14,0.0,1.0
45.0,47.44848927176921,48.0,48.0,48.0,0.5515107282307881,0.5515107282307881,0.5515107282307881,0.0,0.0173828125,0.0,0.0,0.0,117.57009722498279,0.0,0.0,0.0,4.363328156943836e-14,0.0,1.0
47.5,47.67280145419063,48.0,48.0,48.0,0.3271985458093667,0.3271985458093667,0.3271985458093667,0.0,0.01025390625,0.0,0.0,0.0,124.21344499511925,0.0,0.0,0.0,5.00319782044622e-14,0.0,1.0
50.0,47.82121616317795,48.0,48.0,48.0,0.17878383682204912,0.17878383682204912,0.17878383682204912,0.0,0.00517578125,0.0,0.0,0.0,130.85701524432108,0.0,0.0,0.0,5.827629720966956e-14,0.0,1.0
