snr_db,svd,gmd,ucd,ao,gain_gmd_vs_svd,gain_ucd_vs_svd,gain_ao_vs_svd,gain_ao_vs_gmd,svd_ber,gmd_ber,ucd_ber,ao_ber,svd_leakage,gmd_leakage,ucd_leakage,ao_leakage,ao_init_frac_svd,ao_init_frac_ucd
5.0,10.40154831355041,1.0735367852516213,2.557628119667112,11.733244831251508,-9.32801152829879,-7.8439201938832985,1.331696517701097,10.659708045999887,0.8828125,0.4477213541666667,0.39290364583333337,0.8640625,0.0,0.0,0.0,1.7953647013039133e-12,1.0,0.0
7.5,13.811187131082681,3.1704199995729887,5.7035523005344615,15.500403659615248,-10.640767131509692,-8.10763483054822,1.689216528532567,12.32998366004226,0.830078125,0.4021158854166666,0.339990234375,0.807080078125,0.0,0.0,0.0,1.132764346190969e-12,1.0,0.0
10.0,17.70673829229794,6.848073517540381,10.021391010032845,19.678789723871496,-10.858664774757557,-7.685347282265093,1.9720514315735578,12.830716206331115,0.755029296875,0.3415201822916667,0.2798502604166667,0.728759765625,0.0,0.0,0.0,1.008919239547501e-12,1.0,0.0
12.5,21.919804513123818,12.195142982172921,15.836260277990036,24.243287594506892,-9.724661530950897,-6.0835442351337825,2.323483081383074,12.04814461233397,0.660107421875,0.27237955729166663,0.22265625,0.63408203125,0.0,0.0,0.0,9.079360029006267e-13,1.0,0.0
15.0,26.17002638561717,18.754509999537646,22.038142510535103,29.20213733240172,-7.415516386079524,-4.1318838750820674,3.032110946784549,10.447627332864073,0.555908203125,0.207080078125,0.17185872395833332,0.519482421875,0.0,0.0,0.0,6.228336494113758e-13,1.0,0.0
17.5,30.10715691745811,25.781880140067585,27.94964480586483,33.44775259109808,-4.325276777390524,-2.157512111593281,3.340595673639971,7.665872451030495,0.45908203125,0.148291015625,0.12363281250000002,0.30271809895833335,0.0,0.0,0.0,8.235592057819932e-13,0.6,0.4
20.0,33.508940941727104,32.63982302728253,34.58204748258729,37.49083876930896,-0.8691179144445726,1.0731065408601879,3.9818978275818537,4.851015742026426,0.3724609375,0.09803059895833334,0.08138020833333334,0.15468750000000003,0.0,0.0,0.0,3.894022418489058e-13,0.3,0.7
22.5,36.39485283022158,38.70448399516715,40.02362179218187,42.21419677875279,2.3096311649455714,3.62876896196029,5.819343948531213,3.509712783585641,0.301513671875,0.056559244791666664,0.0462890625,0.061442057291666664,0.0,0.0,0.0,1.0431719161775571e-12,0.1,0.9
25.0,38.830701545462546,43.298750092736626,44.12071367028379,45.69267049606957,4.46804854727408,5.290012124821246,6.861968950607022,2.3939204033329418,0.2453125,0.02760416666666667,0.021940104166666665,0.012727864583333335,0.0,0.0,0.0,9.877052514760983e-13,0.0,1.0
27.5,40.87395013919918,46.1083388017979,46.5307160110152,47.20201751773469,5.234388662598718,5.65676587181602,6.328067378535508,1.0936787159367896,0.194384765625,0.010693359375,0.007584635416666664,0.003987630208333334,0.0,0.0,0.0,2.009149371484651e-13,0.0,1.0
30.0,42.58337791490478,47.47254136909964,47.62097896597387,47.7484394063819,4.889163454194858,5.037601051069089,5.165061491477118,0.2758980372822606,0.145361328125,0.002783203125,0.002115885416666667,0.0011881510416666666,0.0,0.0,0.0,6.129496539818367e-14,0.0,1.0
32.5,44.03898697487419,47.91889700652352,47.9489041646536,47.95813712352286,3.879910031649331,3.9099171897794065,3.9191501486486686,0.039240116999337715,0.107275390625,0.00039062499999999997,0.00030924479166666665,0.000244140625,0.0,0.0,0.0,1.0124695978370173e-13,0.0,1.0
35.0,45.19083099327289,47.99809975895594,47.99920849151278,47.99920849085231,2.807268765683048,2.808377498239892,2.8083774975794213,0.0011087318963731718,0.07890625,0.0,0.0,0.0,0.0,0.0,0.0,4.002594049022729e-14,0.0,1.0
37.5,46.040534763878654,47.9999999814611,47.99999998509661,47.99999998509428,1.9594652175824478,1.959465221217954,1.9594652212156234,3.6331755381979747e-09,0.0564453125,0.0,0.0,0.0,0.0,0.0,0.0,3.5974915667802546e-14,0.0,1.0
40.0,46.66460117376651,48.0,48.0,48.0,1.3353988262334866,1.3353988262334866,1.3353988262334866,0.0,0.038525390625,0.0,0.0,0.0,0.0,0.0,0.0,6.190905574785483e-14,0.0,1.0
42.5,47.11479294273918,48.0,48.0,48.0,0.8852070572608213,0.8852070572608213,0.8852070572608213,0.0,0.0255859375,0.0,0.0,0.0,0.0,0.0,0.0,4.9086840017538236e-14,0.0,1.0
45.0,47.44848927176921,48.0,48.0,48.0,0.5515107282307881,0.5515107282307881,0.5515107282307881,0.0,0.0173828125,0.0,0.0,0.0,0.0,0.0,0.0,4.363328156943836e-14,0.0,1.0
