snr_db,avg_svd,avg_gmd,gain_gmd_vs_svd,avg_svd_leakage,avg_gmd_leakage
-10.0,0.6417157900963435,0.08919276914592622,-0.5525230209504173,0.0,0.0
-7.5,1.050375697393358,0.1268147936626054,-0.9235609037307526,0.0,0.0
-5.0,1.658490658727139,0.18540150538033728,-1.4730891533468018,0.0,0.0
-2.5,2.5227773017225807,0.2542438961115181,-2.2685334056110626,0.0,0.0
0.0,3.705466688342158,0.274334966468178,-3.43113172187398,0.0,0.0
2.5,5.2396707731179095,0.17430987601493086,-5.065360897102979,0.0,0.0
5.0,7.166758375763001,0.0678981577619382,-7.098860218001063,0.0,0.0
7.5,9.47250190503278,0.0,-9.47250190503278,0.0,0.0
10.0,12.15409461517012,0.0,-12.15409461517012,0.0,0.0
12.5,15.129540315851285,0.0,-15.129540315851285,0.0,0.0
15.0,18.262557128601014,0.0,-18.262557128601014,0.0,0.0
17.5,21.40505105767717,0.0,-21.40505105767717,0.0,0.0
20.0,24.532862870142626,0.4032031680154411,-24.129659702127185,0.0,0.0
22.5,27.636691988186428,1.2575034007135422,-26.379188587472886,0.0,0.0
25.0,30.62061412832234,2.3253521078680315,-28.29526202045431,0.0,0.0
27.5,33.44929140571894,5.559824390999192,-27.889467014719745,0.0,0.0
30.0,35.96446894193857,16.259733579561694,-19.704735362376876,0.0,0.0
32.5,38.11088059728517,33.45189439615561,-4.658986201129558,0.0,0.0
35.0,39.93493223808696,35.996233013092045,-3.938699224994913,0.0,0.0
37.5,41.61686508029946,35.99999983583494,-5.61686524446452,0.0,0.0
40.0,43.168739087758745,46.99198545444278,3.823246366684039,0.0,0.0
42.5,44.53676331904197,47.999895713978965,3.4631323949369985,0.0,0.0
45.0,45.64244291923928,47.999999999948564,2.3575570807092845,0.0,0.0
47.5,46.475837709365706,48.0,1.524162290634294,0.0,0.0
50.0,47.056120170856175,48.0,0.9438798291438246,0.0,0.0
