row_index,bits_1,bits_2,bits_3,bits_4,mapped_index,real_part,imag_part
0,0,0,0,0,11,0.948683298050514,-0.316227766016838
1,0,0,0,1,10,0.948683298050514,-0.948683298050514
2,0,0,1,0,14,0.316227766016838,-0.948683298050514
3,0,0,1,1,15,0.316227766016838,-0.316227766016838
4,0,1,0,0,9,0.948683298050514,0.316227766016838
5,0,1,0,1,8,0.948683298050514,0.948683298050514
6,0,1,1,0,12,0.316227766016838,0.948683298050514
7,0,1,1,1,13,0.316227766016838,0.316227766016838
8,1,0,0,0,1,-0.948683298050514,0.316227766016838
9,1,0,0,1,0,-0.948683298050514,0.948683298050514
10,1,0,1,0,4,-0.316227766016838,0.948683298050514
11,1,0,1,1,5,-0.316227766016838,0.316227766016838
12,1,1,0,0,3,-0.948683298050514,-0.316227766016838
13,1,1,0,1,2,-0.948683298050514,-0.948683298050514
14,1,1,1,0,6,-0.316227766016838,-0.948683298050514
15,1,1,1,1,7,-0.316227766016838,-0.316227766016838
