row_index,bits,real_part,imag_part,hard_bits_from_soft
0,000000,0.77151674981046,-0.462910049886276,011000
1,000001,0.77151674981046,-0.154303349962092,011001
2,000010,0.77151674981046,0.154303349962092,001001
3,000011,0.77151674981046,0.462910049886276,001000
4,000100,0.462910049886276,0.462910049886276,000000
5,000101,0.462910049886276,0.154303349962092,000001
6,000110,0.462910049886276,-0.154303349962092,010001
7,000111,0.462910049886276,-0.462910049886276,010000
8,001000,0.77151674981046,-0.77151674981046,011100
9,001001,0.77151674981046,-1.08012344973464,011101
10,001010,0.77151674981046,1.08012344973464,001101
11,001011,0.77151674981046,0.77151674981046,001100
12,001100,0.462910049886276,0.77151674981046,000100
13,001101,0.462910049886276,1.08012344973464,000101
14,001110,0.462910049886276,-1.08012344973464,010101
15,001111,0.462910049886276,-0.77151674981046,010100
16,010000,1.08012344973464,-0.77151674981046,011110
17,010001,1.08012344973464,-1.08012344973464,011111
18,010010,1.08012344973464,1.08012344973464,001111
19,010011,1.08012344973464,0.77151674981046,001110
20,010100,0.154303349962092,0.77151674981046,000110
21,010101,0.154303349962092,1.08012344973464,000111
22,010110,0.154303349962092,-1.08012344973464,010111
23,010111,0.154303349962092,-0.77151674981046,010110
24,011000,1.08012344973464,-0.462910049886276,011010
25,011001,1.08012344973464,-0.154303349962092,011011
26,011010,1.08012344973464,0.154303349962092,001011
27,011011,1.08012344973464,0.462910049886276,001010
28,011100,0.154303349962092,0.462910049886276,000010
29,011101,0.154303349962092,0.154303349962092,000011
30,011110,0.154303349962092,-0.154303349962092,010011
31,011111,0.154303349962092,-0.462910049886276,010010
32,100000,-1.08012344973464,-0.462910049886276,111010
33,100001,-1.08012344973464,-0.154303349962092,111011
34,100010,-1.08012344973464,0.154303349962092,101011
35,100011,-1.08012344973464,0.462910049886276,101010
36,100100,-0.154303349962092,0.462910049886276,100010
37,100101,-0.154303349962092,0.154303349962092,100011
38,100110,-0.154303349962092,-0.154303349962092,110011
39,100111,-0.154303349962092,-0.462910049886276,110010
40,101000,-1.08012344973464,-0.77151674981046,111110
41,101001,-1.08012344973464,-1.08012344973464,111111
42,101010,-1.08012344973464,1.08012344973464,101111
43,101011,-1.08012344973464,0.77151674981046,101110
44,101100,-0.154303349962092,0.77151674981046,100110
45,101101,-0.154303349962092,1.08012344973464,100111
46,101110,-0.154303349962092,-1.08012344973464,110111
47,101111,-0.154303349962092,-0.77151674981046,110110
48,110000,-0.77151674981046,-0.77151674981046,111100
49,110001,-0.77151674981046,-1.08012344973464,111101
50,110010,-0.77151674981046,1.08012344973464,101101
51,110011,-0.77151674981046,0.77151674981046,101100
52,110100,-0.462910049886276,0.77151674981046,100100
53,110101,-0.462910049886276,1.08012344973464,100101
54,110110,-0.462910049886276,-1.08012344973464,110101
55,110111,-0.462910049886276,-0.77151674981046,110100
56,111000,-0.77151674981046,-0.462910049886276,111000
57,111001,-0.77151674981046,-0.154303349962092,111001
58,111010,-0.77151674981046,0.154303349962092,101001
59,111011,-0.77151674981046,0.462910049886276,101000
60,111100,-0.462910049886276,0.462910049886276,100000
61,111101,-0.462910049886276,0.154303349962092,100001
62,111110,-0.462910049886276,-0.154303349962092,110001
63,111111,-0.462910049886276,-0.462910049886276,110000
